City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Sinnamary,GF,76.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
479,Charters Towers,AU,82.06,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
480,Najran,SA,71.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
481,Barra Do Garcas,BR,71.17,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
482,Ercis,TR,55.4,broken clouds,39.0287,43.3586,Erciş Elit Otel
485,Camacha,PT,60.8,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
488,Santander Jimenez,MX,61.68,overcast clouds,24.2167,-98.4667,Papas inc
489,Kupang,ID,84.22,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
490,Liwale,TZ,66.92,scattered clouds,-9.7667,37.9333,Samoma Lodge
493,Coari,BR,72.82,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
495,Gizo,SB,82.74,overcast clouds,-8.103,156.8419,Imagination Island
496,Tabou,CI,80.01,overcast clouds,4.423,-7.3528,hotêl doufoulougou
497,Umbuzeiro,BR,67.1,overcast clouds,-7.6956,-35.6636,Pousada Sol Nascente
499,Honiara,SB,83.39,overcast clouds,-9.4333,159.95,Heritage Park Hotel
503,Itarema,BR,75.81,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
506,Ulaangom,MN,55.42,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
509,Andros Town,BS,77.0,broken clouds,24.7,-77.7667,Hanks place
510,Kavieng,PG,84.72,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
511,Talara,PE,69.42,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
513,Arlit,NE,80.83,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
520,Kloulklubed,PW,75.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
521,Daphne,US,62.6,clear sky,30.6035,-87.9036,Amricans Best Inn
526,Ukiah,US,66.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
528,Chernyy Yar,RU,57.9,light rain,48.0624,46.1091,Stanitsa Chernoyarskaya
529,Abu Dhabi,AE,78.8,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
530,Cabedelo,BR,71.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
532,Port Pirie,AU,73.4,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
534,Balad,IQ,83.5,broken clouds,34.0164,44.1453,رضاوي زنوبة
535,Poum,NC,78.51,overcast clouds,-20.2333,164.0167,Gîte kajeon
536,Codo,BR,72.12,moderate rain,-4.4553,-43.8856,Hotel Porto do Sol
537,Changli,CN,80.01,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
538,San Ramon De La Nueva Oran,AR,73.0,scattered clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
539,Sambava,MG,77.86,light rain,-14.2667,50.1667,Melrose
541,Tual,ID,80.92,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
543,Nuevo Progreso,MX,64.99,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
544,Menongue,AO,55.31,few clouds,-14.6585,17.691,Ritz Lauca
545,Nuevitas,CU,77.0,light rain,21.5453,-77.2644,Hotel Caonaba
546,Kilkis,GR,54.0,overcast clouds,40.9919,22.8708,Habitat Hotel
547,Taunggyi,MM,82.24,clear sky,20.7833,97.0333,True Treasure Hotel
